,country,year,gini_disp,gini_disp_se,gini_mkt,gini_mkt_se,abs_red,abs_red_se,rel_red,rel_red_se
162,Togo,2008,41.5,2,41.8,2.3,NA,NA,NA,NA
163,Tonga,2008,37.8,2.3,39.5,3.1,NA,NA,NA,NA
164,Trinidad And Tobago,2005,41.8,,,,,,,
165,Tunisia,2008,38.6,1.8,39.5,2.1,NA,NA,NA,NA
166,Turkey/Ottoman Empire,2008,40.9,1.2,41.8,1.5,0.9,1.9,2.2,2.4
167,Tuvalu,2008,39.5,2.8,40.1,3.5,NA,NA,NA,NA
168,Uganda,2008,41.5,1.5,43.4,1.8,NA,NA,NA,NA
169,Ukraine,2008,27.7,1.1,23,2.3,-4.7,2.5,-20.4,3.4
170,United Arab Emirates,2008,38.9,4,39.4,4.8,NA,NA,NA,NA
171,United Kingdom,2008,34,0.6,53,0.8,19,1,35.8,1.3
172,United States Of America,2008,37,0.5,49.2,0.6,12.2,0.8,24.8,1
173,Uruguay,2008,41.1,0.6,52.2,0.7,11.1,0.9,21.3,1.1
174,Vanuatu,2008,38.2,2.2,39.3,2.5,NA,NA,NA,NA
175,Venezuela,2008,39.1,1.3,43.7,2.1,4.6,2.5,10.5,3.3
176,"Vietnam, Democratic Republic Of",2008,37.4,1.2,39.5,1.4,NA,NA,NA,NA
177,Yemen,2008,36.1,2.3,36.9,2.8,NA,NA,NA,NA
178,Zambia,2008,53.5,1.9,54,2.3,NA,NA,NA,NA
179,Zimbabwe,2008,45.8,2.7,46.3,3,NA,NA,NA,NA
